"id","name","type","platform","genres","developer","publisher","release_date","release_precision","release_year","release_month","release_day","main_story_polled","main_story","main_plus_sides_polled","main_plus_sides","completionist_polled","completionist","all_styles_polled","all_styles","single_player_polled","single_player","co_op_polled","co_op","versus_polled","versus"
"66464","Love Thyself - A Horatio Story","game","PC","Visual Novel","AMPLITUDE Studios","Sega","2019-04-01","day","2019","4","1","13","1.7","10","1.71","19","2.73","42","2.18","13","1.7","","","",""
"66469","One Finger Death Punch 2","game","Nintendo Switch, PC, PlayStation 4","Action, Scrolling, Side","Silver Dollar Games","Silver Dollar Games","2019-04-15","day","2019","4","15","39","10.57","33","14.22","22","26.24","94","14.55","39","10.57","","","",""
"66470","Broken Reality","game","Nintendo Switch, PC","","Dynamic Media Triad","Digital Tribe","2018-11-29","day","2018","11","29","27","7.13","22","7.38","15","8.81","64","7.56","27","7.13","","","",""
"66471","Skywire","game","Browser, PC","Action, On-Rails, Side","Nitrome","Nitrome","2007-03-28","day","2007","3","28","3","0.86","","","","","3","0.86","3","0.86","","","",""
"66472","HyperParasite","game","Nintendo Switch, PC","","Troglobytes Games","Troglobytes Games, Hound Picked Games, indienova","2020-04-03","day","2020","4","3","1","22.67","","","","","1","22.67","1","22.67","","","",""
"66475","Bunny Parking","game","Linux, PC, PlayStation 4, Xbox One","Action, Puzzle, Sandbox, Third-Person","DillyFrame","DillyFrame","2019-03-23","day","2019","3","23","2","0.15","","","2","5.86","4","2.81","2","0.15","","","",""
"66476","Hell Warders","game","Nintendo Switch, PC, PlayStation 4, Xbox One","Tower Defense","Anti Gravity Game Studios","PQube","2019-02-21","day","2019","2","21","1","10.0","1","80.0","","","2","45.0","1","10.0","","","",""
"66477","Trinoline","game","PC","Visual Novel","minori","MangaGamer","2017-03-31","day","2017","3","31","3","12.55","2","23.09","3","28.63","8","20.13","3","12.55","","","",""
"66478","Not Not - A Brain Buster","game","Mobile, Nintendo Switch","Puzzle","Alternative Shift","QubicGames","2019-03-15","day","2019","3","15","6","1.07","3","7.46","","","9","2.31","6","1.07","","","",""
"66479","The Textorcist: The Story of Ray Bibbia","game","PC","","MorbidWare","Headup","2019-02-14","day","2019","2","14","91","4.21","24","6.71","8","14.38","123","5.12","91","4.21","","","",""
"66486","Forza Street","game","Mobile, PC","Driving, On-Rails, Racing, Third-Person","Electric Square","Xbox Games Studio","2019-04-15","day","2019","4","15","6","102.85","3","135.9","7","204.25","16","154.18","6","102.85","","","",""
"66489","City Game Studio","game","PC","Simulation","Binogure Studio","Binogure Studio","2019-02-21","day","2019","2","21","8","12.35","3","13.32","2","66.0","13","16.87","8","12.35","","","",""
"66490","Rubble Trouble New York","game","","Action, Point-And-Click, Puzzle, Side","Nitrome","Nitrome","2010-01-29","day","2010","1","29","1","2.32","","","","","1","2.32","1","2.32","","","",""
"66494","Memories Off 6: Next Relation","game","PlayStation Portable, Xbox 360","Visual Novel","5pb","5pb","2009-08-27","day","2009","8","27","","","","","1","1.67","1","1.67","","","","","",""
"66496","Memories Off 6 Complete","game","","Visual Novel","5pb","5pb","2013-06-27","day","2013","6","27","","","1","18.28","","","1","18.28","","","","","",""
"66498","Final Fantasy Crystal Chronicles: Remastered Edition","game","Mobile, Nintendo Switch, PlayStation 4","Action, Role-Playing","Square Enix","Square Enix","2020-08-27","day","2020","8","27","24","17.34","17","43.16","1","97.76","42","25.13","24","17.34","4","28.89","",""
"66499","Lost Soul Aside","game","PC, PlayStation 4, PlayStation 5","Action, Role-Playing","Ultizero Games","Sony Interactive Entertainment","2025-08-29","day","2025","8","29","37","18.44","33","23.2","3","32.13","73","20.91","37","18.44","","","",""
"66500","Granblue Fantasy: Relink","game","PC, PlayStation 4, PlayStation 5","Action, Real-Time, Role-Playing, Third-Person","Cygames","Cygames","2024-02-01","day","2024","2","1","229","15.55","248","32.7","45","130.61","522","27.89","229","15.55","5","63.25","",""
"66503","Hyper Sentinel","game","Nintendo Switch, PC, PlayStation 4","Action, Scrolling, Shooter","Four5Six Pixel, Huey Games","Huey Games","2018-05-10","day","2018","5","10","5","1.37","2","3.27","1","15.32","8","2.74","5","1.37","","","",""
"66506","Senran Kagura: Peach Ball","game","Nintendo Switch, PC","Action","Honey Parade Games","XSEED Games","2019-07-09","day","2019","7","9","23","6.46","14","7.79","6","21.16","43","8.1","23","6.46","","","",""
"66507","Super Smash Bros. Ultimate - Challenger Pack 1: Joker","dlc/expansion","Nintendo Switch","Fighting","Bandai Namco Studios, Sora","Nintendo","2019-04-17","day","2019","4","17","11","0.86","4","0.84","10","1.08","25","0.98","11","0.86","","","",""
"66508","SwordBounce","game","PC","Platform, Puzzle","GogglesKitty","GogglesKitty","2018-05-19","day","2018","5","19","","","","","1","6.07","1","6.07","","","","","",""
"66511","Photographs","game","Mobile, PC","Adventure, Puzzle","EightyEight Games","EightyEight Games","2019-04-03","day","2019","4","3","12","3.15","1","3.12","6","3.29","19","3.12","12","3.15","","","",""
"66512","Chisel","game","","Action, Puzzle, Side","Nitrome","Nitrome","2010-04-29","day","2010","4","29","1","1.15","","","","","1","1.15","1","1.15","","","",""
"66513","Grimshade","game","PC","","Talerock","Asterion Games","2019-03-26","day","2019","3","26","","","","","1","19.2","1","19.2","","","","","",""
"66516","The Grand Tour Game","game","PlayStation 4, Xbox One","","Amazon Game Studios","Amazon Game Studios","2019-01-15","day","2019","1","15","4","11.07","3","14.39","4","20.36","11","16.07","4","11.07","","","",""
"66517","Nickelodeon Kart Racers","game","Nintendo Switch, PlayStation 4, Xbox One","","Bamtang Games","GameMill Entertainment","2018-10-23","day","2018","10","23","9","3.27","","6.96","5","10.66","14","5.2","9","3.27","1","5.0","",""
"66519","Snow Daze","game","PC","","Kyungeki Workshop, Outbreak Games","Critical Bliss","2018-10-29","day","2018","10","29","5","3.15","4","4.65","9","6.81","18","5.06","5","3.15","","","",""
"66524","Seed of Evil","game","PC","","Hasoyua","Kagura Games","2018-11-01","day","2018","11","1","","","","","4","6.88","4","6.88","","","","","",""
"66525","Gekijouban Madoka Magicka: The Battle Pentagram","game","PlayStation Vita","Action","Bandai Namco Games","Bandai Namco Games","2013-12-19","day","2013","12","19","2","13.61","","","","","2","13.61","2","13.61","","","",""
"66527","Mechanism","game","PC","Adventure","Alexander Goodwin","Alexander Goodwin","2018-07-19","day","2018","7","19","","","1","5.73","1","7.63","2","6.68","","","","","",""
"66529","Cat Mario","game","Browser, PC","Platform","The Gamer 800","The Gamer 800","2021-12-04","day","2021","12","4","2","0.45","","","","","2","0.45","2","0.45","","","",""
"66530","HEVN","game","PC","Adventure, First-Person","Miga","Miga","2018-09-24","day","2018","9","24","","","1","7.2","","","1","7.2","","","","","",""
"66531","Bakugan Battle Brawlers: Battle Trainer","game","Nintendo DS","Action","Magic Pockets","Activision","2010-03-23","day","2010","3","23","5","5.92","3","10.62","1","50.0","9","10.09","5","5.92","","","",""
"66532","Battleminer","game","Nintendo 3DS","","Wobbly Tooth","","2014-12-11","day","2014","12","11","","","1","11.05","","","1","11.05","","","","","",""
"66534","Undead Storm Nightmare","game","Nintendo 3DS","Scrolling, Shooter","G-STYLE","G-STYLE","2014-12-24","day","2014","12","24","","","1","10.28","","","1","10.28","","","","","",""
"66536","Icebreaker","game","","Action, Point-And-Click, Puzzle, Side","Nitrome","Nitrome","2009-01-04","day","2009","1","4","1","2.09","","","","","1","2.09","1","2.09","","","",""
"66542","Croc's World","game","Mobile, Nintendo Switch, PC, PlayStation 4, Xbox 360, Xbox One","Action","Sprakelsoft","Sprakelsoft","2018-11-02","day","2018","11","2","2","2.21","","","","","2","2.21","2","2.21","","","",""
"66546","Foreverhood","game","PC","Action, First-Person, Shooter","Brian Goodsell","","0000-00-00","day","0","0","0","2","0.85","","","","","2","0.85","2","0.85","","","",""
"66551","7th Sector","game","Nintendo Switch, PC, PlayStation 4, Xbox One","Action, Puzzle","Носков Сергей","Носков Сергей","2019-03-05","day","2019","3","5","10","6.45","6","7.74","7","9.42","23","7.48","10","6.45","","","",""
"66553","The Invisible Guardian","game","PC","Adventure","New One Studio","New One Studio","0000-00-00","day","0","0","0","3","8.13","3","13.22","10","14.13","16","12.71","3","8.13","","","",""
"66556","Super BurgerTime","game","Arcade, Nintendo Switch","","Data East","Data East","1990-00-00","day","1990","0","0","1","0.72","","","","","1","0.72","1","0.72","","","",""
"66557","Ciconia When They Cry","compil","PC","","Ryukishi07","07th Expansion","0000-00-00","day","0","0","0","5","17.0","1","23.0","4","37.33","10","20.92","5","17.0","","","",""
"66558","Mary Skelter 2","game","Nintendo Switch, PC, PlayStation 4","First-Person, Role-Playing, Turn-Based","Compile Heart","Idea Factory","2018-07-12","day","2018","7","12","14","53.84","18","69.22","11","82.07","43","68.66","14","53.84","","","",""
"66559","Derail Valley","game","PC","Simulation, Virtual Reality","Altfuture","Altfuture","2019-01-25","day","2019","1","25","","","3","36.12","1","103.33","4","84.51","","","","","",""
"66562","Travis Strikes Again: No More Heroes - Black Dandelion","dlc/expansion","Nintendo Switch, PC","","Grasshopper Manufacture","","2019-02-28","day","2019","2","28","7","0.75","","","","","7","0.75","7","0.75","","","",""
"66563","Travis Strikes Again: No More Heroes - Bubblegum Fatale","dlc/expansion","Nintendo Switch, PC, PlayStation 4","","Grasshopper Manufacture","","2019-04-30","day","2019","4","30","7","1.46","1","2.16","","","8","1.54","7","1.46","","","",""
"66564","Marvel Powers United VR","game","PC","On-Rails, Shooter","Sanzaru Games","Oculus","2018-07-26","day","2018","7","26","1","6.0","","","","","1","6.0","1","6.0","","","",""
"66565","Prologue For A Vacant Kingdom","game","PC","Action, Role-Playing","shru","shru","2019-04-18","day","2019","4","18","1","2.35","1","5.0","","","2","3.68","1","2.35","","","",""
"66566","Halloween Girl","game","PC","Arcade","КиКо","КиКо","2018-11-26","day","2018","11","26","","","","","3","0.96","3","0.96","","","","","",""
"66570","Zup! XS","game","PC","Puzzle","Quiet River","Quiet River","2019-04-17","day","2019","4","17","2","0.5","1","1.5","26","2.09","29","2.0","2","0.5","","","",""
"66571","Amaze Easter","game","PC","Arcade","Blender Games","Blender Games","2019-03-27","day","2019","3","27","","","","","4","0.86","4","0.86","","","","","",""
"66573","Coloring Game","game","PC","","L. Stotch","L. Stotch","2019-04-12","day","2019","4","12","27","10.79","7","19.98","27","116.45","61","42.0","27","10.79","","","",""
"66577","Avalanche","game","Arcade, PC","Action","Atari","Atari","1978-00-00","day","1978","0","0","2","0.35","","","","","2","0.35","2","0.35","","","",""
"66578","6120","game","PC","Adventure","indie_games_studio","indie_games_studio","2019-04-19","day","2019","4","19","1","0.67","1","1.0","","","2","0.83","1","0.67","","","",""
"66581","Chernobylite","game","Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S","First-Person, Role-Playing, Shooter, Survival","The Farm 51","The Farm 51","2021-07-28","day","2021","7","28","49","14.74","86","21.08","115","23.84","250","20.84","49","14.74","","","",""
"66586","Burning Daylight","game","PC","Adventure","Burning Daylight Team","Burning Daylight Team","2019-04-19","day","2019","4","19","41","0.74","18","0.75","21","0.8","80","0.76","41","0.74","","","",""
"66591","Saints Row: The Third Remastered","game","Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation 5, Xbox 360, Xbox One, Xbox Series X/S","Action, Open World, Real-Time, Sandbox, Shooter, Third-Person","Volition, Sperasoft","THQ, Deep Silver","2012-11-09","day","2012","11","9","99","13.3","155","22.21","73","39.09","327","22.07","99","13.3","8","21.49","",""
"66595","Dreams","game","PlayStation 4","Action, Adventure, Sandbox","Media Molecule","Sony Interactive Entertainment","2020-02-14","day","2020","2","14","65","2.85","32","10.92","5","76.56","102","6.9","65","2.85","1","19.35","",""
"66598","Tombeaux","game","PC","Adventure","Dave Beck","Dave Beck","2018-11-06","day","2018","11","6","2","0.58","","","1","0.73","3","0.63","2","0.58","","","",""
"66603","SteamWorld Quest: Hand of Gilgamech","game","Google Stadia, Linux, Mac, Mobile, Nintendo Switch, PC","Adventure, Card Game, Role-Playing, Side, Turn-Based","Image & Form Games","Thunderful Publishing","2019-04-25","day","2019","4","25","142","14.68","167","20.21","36","27.35","345","18.34","142","14.68","","","",""
"66604","Sudoku Relax","game","Nintendo Switch","Puzzle","G-mode","G-mode","2019-04-18","day","2019","4","18","1","35.0","","","1","60.0","2","47.5","1","35.0","1","10.0","",""
"66606","Die Maus","game","Game Boy, Game Boy Color","Puzzle","Bit Managers","Infogrames","1997-00-00","day","1997","0","0","1","6.93","","","","","1","6.93","1","6.93","","","",""
"66609","Escaped Chasm","game","Mac, PC","Adventure, Interactive Art, Top-Down","Temmie","","2019-04-03","day","2019","4","3","33","0.47","13","0.61","18","0.87","64","0.56","33","0.47","","","",""
"66610","Trials Rising - Sixty-Six","dlc/expansion","PC, PlayStation 4","Driving, Platform, Racing, Side","RedLynx","Ubisoft","2019-04-16","day","2019","4","16","1","0.93","1","10.0","","","2","5.47","1","0.93","","","",""
"66613","Anka","game","PC","","","","0000-00-00","day","0","0","0","","","","","1","2.0","1","2.0","","","","","",""
"66615","Shadow of the Tomb Raider: The Path Home","dlc/expansion","Google Stadia, PC, PlayStation 4, Xbox One","","Eidos-Montréal, Crystal Dynamics, Nixxes software","Square Enix","2019-04-19","day","2019","4","19","22","0.82","10","0.83","19","1.08","51","0.96","22","0.82","","","",""
"66620","aMAZE Lunar","game","PC","Puzzle","Blender Games","Blender Games","2019-02-26","day","2019","2","26","","","","","6","0.8","6","0.8","","","","","",""
"66621","The Spy Who Shrunk Me","game","PC","Action","Catland","Catland","2019-06-14","day","2019","6","14","3","1.87","2","4.1","","","5","2.42","3","1.87","","","",""
"66627","Strike Force Kitty","game","Mac, Nintendo Switch, PC","Role-Playing","Deqaf Studio","Deqaf Studio","2018-02-20","day","2018","2","20","5","4.39","3","10.57","4","12.69","12","8.18","5","4.39","","","",""
"66629","Bad Ice-Cream","game","Browser, PC","Action, Arcade, Scrolling, Top-Down","Nitrome","Nitrome","2010-12-10","day","2010","12","10","1","3.45","","","","","1","3.45","1","3.45","","","",""
"66630","Persona 5 Royal","game","Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S","Action, Role-Playing, Simulation, Social, Third-Person, Turn-Based","P-Studio","Atlus, SEGA","2019-10-31","day","2019","10","31","1494","101.29","3088","123.01","1996","141.06","6578","122.91","1494","101.29","","","",""
"66631","Space Mining Clicker","game","Linux, Mac, PC","Management","Cold Coffee Studio","Cold Coffee Studio","2019-08-24","day","2019","8","24","2","2.83","","","2","3.5","4","3.08","2","2.83","","","",""
"66632","Skywire 2","game","Browser","Action, On-Rails, Side","Nitrome","Nitrome","2008-06-02","day","2008","6","2","1","0.57","","","","","1","0.57","1","0.57","","","",""
"66633","Muse Dash","game","Mac, Mobile, Nintendo Switch, PC","Music/Rhythm","PeroPeroGames","X.D. Network","2018-06-14","day","2018","6","14","58","6.84","51","14.93","55","23.12","164","15.11","58","6.84","","","",""
"66637","J-J-Jump","game","PC","Platform, Scrolling, Side","Nitrome","Nitrome","2012-07-19","day","2012","7","19","2","0.42","","","","","2","0.42","2","0.42","","","",""
"66642","Hard Light Vector","game","PC","Action, First-Person, Platform","Actually A Game Company","Actually A Game Company","2019-03-26","day","2019","3","26","1","0.9","","","","","1","0.9","1","0.9","","","",""
"66645","Sniper Elite V2 Remastered","game","Nintendo Switch, PC, PlayStation 4, Xbox One","Action, Shooter, Stealth, Third-Person","Rebellion","Rebellion","2019-05-14","day","2019","5","14","111","6.18","55","8.94","14","24.64","180","8.02","111","6.18","1","9.07","",""
"66646","ARMA: Queen's Gambit","dlc/expansion","PC","First-Person, Sandbox, Shooter, Simulation, Tactical, Third-Person, Vehicular Combat","Bohemia Interactive and Black Element Software","505 Games","2007-09-28","day","2007","9","28","","","","","1","23.08","1","23.08","","","","","",""
"66676","Assassin's Creed Odyssey - The Fate of Atlantis","game","Google Stadia, PC, PlayStation 4, Xbox One","Action, Open World, Role-Playing, Third-Person","Ubisoft Quebec","Ubisoft","2019-04-23","day","2019","4","23","53","14.98","101","22.2","141","27.7","295","23.46","53","14.98","","","",""
"66685","Azumanga Daioh Advance","game","Game Boy Advance","Card Game, Puzzle","King Records","King Records","2003-04-25","day","2003","4","25","","","1","1.12","","","1","1.12","","","","","",""
"66687","Dragon Ball Z: Collectible Card Game","game","Game Boy Advance","Card Game","ImaginEngine","Infogrames","2002-05-29","day","2002","5","29","1","9.96","2","20.0","","","3","18.33","1","9.96","","","",""
"66697","Cytus Alpha","game","Nintendo Switch","Music/Rhythm","Rayark","PM Studios","2019-04-25","day","2019","4","25","7","9.12","2","20.75","","","9","11.72","7","9.12","","","",""
"66699","Picross S3","game","Nintendo Switch","","Jupiter","Jupiter","2019-04-25","day","2019","4","25","15","19.81","22","31.1","67","45.03","104","37.59","15","19.81","1","29.79","",""
"66700","A Hat in Time: Nyakuza Metro","dlc/expansion","Mac, Nintendo Switch, PC, PlayStation 4, Xbox One","Action, Adventure, Platform, Third-Person","Gears for Breakfast","Gears for Breakfast","2019-05-10","day","2019","5","10","36","2.32","37","2.79","18","3.26","91","2.68","36","2.32","1","2.03","",""
"66701","Gujian3","game","PC","","上海烛龙信息科技有限公司","北京网元圣唐娱乐科技有限公司","2018-12-14","day","2018","12","14","11","41.13","25","56.73","2","74.87","38","52.22","11","41.13","","","",""
"66702","Arkball","game","PC","","Migrate Studio","Migrate Studio","2018-05-25","day","2018","5","25","","","","","1","0.05","1","0.05","","","","","",""
"66712","Moero Chronicle Hyper","game","Nintendo Switch","First-Person, Role-Playing, Visual Novel","","Idea Factory","2019-04-26","day","2019","4","26","7","25.28","5","30.46","","36.71","12","28.82","7","25.28","","","",""
"66713","Lorelai","game","PC","Adventure, Horror, Point-And-Click, Puzzle, Scrolling, Side, Text","Harvester Games","Screen 7","2019-04-26","day","2019","4","26","34","5.61","18","5.96","18","8.08","70","6.3","34","5.61","","","",""
"66718","Enchanted Cavern","game","","Action","Big Fish Games","Big Fish Games","2008-07-15","day","2008","7","15","1","1.52","","","","","1","1.52","1","1.52","","","",""
"66720","Deep Space Waifu: WORLD","game","PC","","Neko Climax Studios","Neko Climax Studios","2019-04-24","day","2019","4","24","5","1.03","5","1.36","30","1.9","40","1.71","5","1.03","","","",""
"66727","Solar Ash","game","Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S","Action, Adventure","Heart Machine","Annapurna Interactive","2021-12-02","day","2021","12","2","106","5.76","184","7.38","129","9.2","419","7.4","106","5.76","","","",""
"66728","Sonic 3 A.I.R","mod","Mobile, PC","Action, Adventure, Platform","Sonic Team, Eukaryot","SEGA","2019-04-00","day","2019","4","0","13","3.94","8","5.13","2","7.16","23","4.34","13","3.94","1","4.83","",""
"66731","Sonic Compilation","compil","Sega Mega Drive/Genesis","Compilation, Platform, Puzzle","Sega","Sega","1997-00-00","day","1997","0","0","1","20.0","","","","","1","20.0","1","20.0","","","",""
"66732","Yuppie Psycho","game","Linux, Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S","Action, Adventure","Baroque Decay","Another Indie","2019-04-25","day","2019","4","25","76","8.56","90","11.33","34","18.58","200","10.93","76","8.56","","","",""
"66733","Formula One 06","game","PlayStation 2, PlayStation Portable","Driving, Racing, Simulation","Studio Liverpool","SCEE/SCEI","2006-07-28","day","2006","7","28","2","13.62","2","15.5","","","4","15.03","2","13.62","","","",""
"66735","Redrum: Time Lies","game","PC","Hidden Object","Anarchy Enterprises","Anarchy Enterprises","2018-11-07","day","2018","11","7","3","2.53","","","2","3.19","5","2.93","3","2.53","","","",""
"66740","The Fog: Trap for Moths","game","PC","Hidden Object","Creobit","Alawar Entertainment","2013-12-03","day","2013","12","3","6","3.07","","","3","3.75","9","3.39","6","3.07","","","",""
"66743","National Park Girls","game","PC","Visual Novel","Studio Coattails","Sekai Project","2019-03-14","day","2019","3","14","1","6.07","","","2","13.85","3","11.23","1","6.07","","","",""
"66747","Super Mario Flashback","game","PC","Platform","","","0000-00-00","day","0","0","0","2","0.37","1","0.61","","","3","0.43","2","0.37","","","",""
"66751","Mech Chip","game","PC","Action, Adventure","Plutoneus","Plutoneus","2019-02-01","day","2019","2","1","1","2.4","","","","","1","2.4","1","2.4","","","",""
"66767","The Witch's House MV","game","Nintendo Switch, PC, PlayStation 4","Role-Playing","Fummy","DANGEN Entertainment","2018-10-31","day","2018","10","31","48","1.83","25","2.22","20","2.85","93","2.14","48","1.83","","","",""
"66768","Halo 5: Forge","multi","PC","First-Person, Party, Real-Time, Shooter","SkyBox Labs","Microsoft Studios","2016-09-08","day","2016","9","8","1","3.34","","","6","6.06","7","5.61","1","3.34","","","",""
"66777","Eternal Home Floristry","game","PC","Side, Visual Novel","Deconstructeam","Deconstructeam","2018-12-04","day","2018","12","4","5","0.34","","","","","5","0.34","5","0.34","","","",""
"66778","Tsujidou-San no Junai Road","game","PC","Adventure","Minato Carnival","Minato Carnival","2012-09-28","day","2012","9","28","","","1","22.0","","","1","22.0","","","","","",""
"66779","Summon of Asmodeus","game","PC","Action, Adventure, Role-Playing","PinkPeachStudio","PinkPeach","2019-04-30","day","2019","4","30","1","2.0","","","1","7.0","2","4.5","1","2.0","","","",""
"66784","Hentai Beautiful Girls 2","game","PC","Puzzle","Laush Dmitriy Sergeevich","Laush Studio","2019-04-19","day","2019","4","19","1","0.3","1","0.32","3","0.61","5","0.39","1","0.3","","","",""
"66785","Overcooked! 2 - Campfire Cook Off","dlc/expansion","Nintendo Switch, PC, PlayStation 4, Xbox One","","Team17","Team17 Digital","2019-04-18","day","2019","4","18","12","2.56","9","4.58","7","9.25","28","4.61","12","2.56","7","4.87","",""
"66786","MORDHAU","multi","PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S","Fighting","Triternion","Triternion","2019-04-29","day","2019","4","29","1","2.0","2","71.88","8","175.86","11","138.88","1","2.0","1","100.75","7","102.16"
"66793","Mystery Village: Shards of the past","game","PC","Hidden Object","GameChain","GameChain","2018-03-16","day","2018","3","16","","","","","1","0.92","1","0.92","","","","","",""
"66794","One Wish","game","PC","Horror","GDNomad","Infernal Dream","2018-06-06","day","2018","6","6","2","0.43","","","","","2","0.43","2","0.43","","","",""
"66805","Grim Town: Battle Tales","game","PC","Card Game","Wonderbox Games","Wonderbox Games","2018-03-21","day","2018","3","21","","","1","4.0","1","4.02","2","4.01","","","","","",""
"66806","Suicide Guy: Sleepin' Deeply","game","Nintendo Switch, PC, PlayStation 4, Xbox One","","Fabio Ferrara","Chubby Pixel","2018-06-07","day","2018","6","7","7","1.88","2","1.88","20","2.41","29","2.16","7","1.88","","","",""
"66808","Super Golf 2018","game","PC","Sports","Bullid Games","Bullid Games","2018-06-11","day","2018","6","11","","","","","1","2.1","1","2.1","","","","","",""
"66812","Sloth: Heart to Heart","game","PC","Visual Novel","NarReiTor","NarReiTor","2019-05-01","day","2019","5","1","1","3.53","","","","","1","3.53","1","3.53","","","",""
"66817","Through Blocks","game","PC","Adventure","NedoStudio","NedoStudio","2017-10-09","day","2017","10","9","","","","","1","1.42","1","1.42","","","","","",""
"66818","Trivia Vault: Movie Trivia","game","PC","","Ripknot Systems","Ripknot Systems","2018-04-27","day","2018","4","27","","","","","3","0.85","3","0.85","","","","","",""
"66828","The Death of Erin Myers","game","PC","","Viperante","Viperante","2019-04-26","day","2019","4","26","5","1.29","","","2","1.58","7","1.45","5","1.29","","","",""
"66834","Christmas Santa Troubles","game","PC","Platform","Unknown Indie Devs","Unknown Indie Devs","2018-04-24","day","2018","4","24","1","1.63","","","","","1","1.63","1","1.63","","","",""
"66837","Hell Survive","game","PC","","alexeibelih","alexeibelih","2017-11-23","day","2017","11","23","","","","","1","0.2","1","0.2","","","","","",""
"66839","Ikki Tousen: Xross Impact","game","PlayStation Portable","Action, Beat Em Up","Marvelous Entertainment","Marvelous Entertainment","2010-04-28","day","2010","4","28","3","2.26","1","19.0","","","4","4.43","3","2.26","","","",""
"66845","The Walking Dead","game","Arcade","Arcade, First-Person, On-Rails, Shooter","Play Mechanix","Raw Thrills","2017-01-18","day","2017","1","18","3","0.53","","","","","3","0.53","3","0.53","","","",""
"66848","Flaws in the People We Love","game","PC","","Gersh Games","Gersh Games","2019-05-01","day","2019","5","1","2","0.17","","","1","0.23","3","0.19","2","0.17","","","",""
"66850","Archeo: Shinar","game","PC","","Artists Entertainment","Artists Entertainment","2019-09-11","day","2019","9","11","1","14.3","","","1","46.68","2","30.49","1","14.3","","","",""
"66851","Gunbrick","game","PC","Platform, Puzzle, Scrolling, Side","Nitrome","Nitrome","2012-04-20","day","2012","4","20","2","1.0","","","","","2","1.0","2","1.0","","","",""
"66853","Mage's Initiation: Reign of the Elements","game","PC","","Himalaya Studios","Himalaya Studios","2019-01-30","day","2019","1","30","3","11.31","","","","","3","11.31","3","11.31","","","",""
"66855","Resident Evil 4: Separate Ways","dlc/expansion","Nintendo Switch, PC, PlayStation 2, PlayStation 3, PlayStation 4, Wii, Xbox 360, Xbox One","Horror, Survival, Third-Person","Capcom","Capcom","2005-10-25","day","2005","10","25","141","3.4","84","4.21","31","4.96","256","3.84","141","3.4","","","",""
"66858","Almost There: The Platformer","game","Nintendo Switch, PC, PlayStation 4, Xbox One","Platform","Bony Yousuf","The Quantum Astrophysicists Guild","2019-02-19","day","2019","2","19","9","4.4","6","7.51","8","10.32","23","6.97","9","4.4","","","",""
"66870","Horror Fish Simulator","game","PC","","Tero Lunkka, BlackThug, Valkeala Software","Tero Lunkka","2018-04-16","day","2018","4","16","","","","","1","0.17","1","0.17","","","","","",""
"66874","Bird Game","game","Linux, Mac, PC, PlayStation 4, Xbox One","Action, Adventure","Bryan Tabor","Bryan Tabor","2018-02-22","day","2018","2","22","6","1.0","2","1.14","6","1.05","14","1.08","6","1.0","","","",""
"66876","Bunny Hop","game","PC","Platform","Easy Game Studio","Freshtrax","2018-03-21","day","2018","3","21","1","1.0","","","","","1","1.0","1","1.0","","","",""
"66881","Clumsy Chef","game","PC","Platform","IndieLip","IndieLip","2018-02-05","day","2018","2","5","1","0.32","","","","","1","0.32","1","0.32","","","",""
"66882","Cryptocurrency Clicker","game","PC","Point-And-Click","Wonderbox Games","Wonderbox Games","2018-04-06","day","2018","4","6","","","","","1","1.67","1","1.67","","","","","",""
"66889","Epitasis","game","PC, PlayStation 4, Xbox One","Adventure, Puzzle","Epitasis Games","Epitasis Games","2019-05-01","day","2019","5","1","1","2.13","2","2.75","4","2.85","7","2.69","1","2.13","","","",""
"66903","Margot's Word Brain","game","Nintendo DS, PC, Wii","","Slam Productions","Funbox Media","2008-11-03","day","2008","11","3","1","0.57","","","","","1","0.57","1","0.57","","","",""
"66905","Debtor","game","Nintendo Switch, PC, Sega Mega Drive/Genesis, Xbox One, Xbox Series X/S","Action, Adventure","SharkGame","Garage Games","2018-02-23","day","2018","2","23","5","0.75","1","0.75","5","0.79","11","0.76","5","0.75","","","",""
"66912","Old Adventure","game","PC","","Stroe Andrei","Stroe Andrei","2017-12-12","day","2017","12","12","","","1","2.96","","","1","2.96","","","","","",""
"66917","Outline","game","PC","Puzzle","XiNFiNiTY Games","OtakuMaker","2018-03-23","day","2018","3","23","","","","","2","6.9","2","6.9","","","","","",""
"66920","Police Adventure","game","PC","","Fantasy-Gaming","Fantasy-Gaming","2017-08-08","day","2017","8","8","1","0.13","","","","","1","0.13","1","0.13","","","",""
"66922","Rainbow Snake","game","Nintendo 3DS, Nintendo Switch, PC, PlayStation 4, Wii U","Arcade","RandomSpin","RandomSpin","2017-10-07","day","2017","10","7","","","","","5","0.35","5","0.35","","","","","",""
"66926","Simple Light Cycles","game","PC","","Kelsam","Kelsam","2017-06-16","day","2017","6","16","1","3.7","","","","","1","3.7","1","3.7","","","",""
