"id","name","type","platform","genres","developer","publisher","release_date","release_precision","release_year","release_month","release_day","main_story_polled","main_story","main_plus_sides_polled","main_plus_sides","completionist_polled","completionist","all_styles_polled","all_styles","single_player_polled","single_player","co_op_polled","co_op","versus_polled","versus"
"24087","Submarine Titans","game","PC","Simulation","Ellipse Studios","Strategy First","2000-08-09","day","2000","8","9","2","20.0","1","20.98","","","3","20.33","2","20.0","","","",""
"24088","NASCAR Racing 2","game","PC","Driving, Racing","Papyrus","Sierra Entertainment","1996-11-30","day","1996","11","30","1","4.0","","","","","1","4.0","1","4.0","","","",""
"24090","London Racer II","game","PC, PlayStation 2","Driving, Racing","Davilex","Davilex","2002-06-14","day","2002","6","14","1","3.0","","","","","1","3.0","1","3.0","","","",""
"24092","Wacki: Kosmiczna Rozgrywka","game","PC","Adventure, Point-And-Click, Side","Seven Stars Multimedia","Seven Stars Multimedia","1998-07-01","day","1998","7","1","","","","","1","5.0","1","5.0","","","","","",""
"24096","Regeria Hope: Episode 1","game","PC","Adventure","Golden Game Barn","Golden Game Barn","2016-03-05","day","2016","3","5","4","1.14","","","17","1.27","21","1.2","4","1.14","","","",""
"24098","Afterfall Reconquest: Episode 1","game","PC","Action, Adventure","IntoXicate Studios","Nicolas Games","2015-02-19","day","2015","2","19","6","2.16","2","2.87","2","3.21","10","2.5","6","2.16","","","",""
"24101","Burning Angels","game","TurboGrafx-16","Scrolling, Shooter","Zap","Naxat Soft","1990-12-07","day","1990","12","7","8","0.63","","","","","8","0.63","8","0.63","","","",""
"24104","Genocide 2: Master of the Dark Communion","game","Sharp X68000, Super Nintendo","Multidirectional, Platform, Real-Time, Third-Person","ZOOM","Kemco Games","1991-00-00","day","1991","0","0","3","1.34","1","1.45","","","4","1.48","3","1.34","","","",""
"24105","A Jax","game","Amstrad CPC, Arcade, Commodore 64, Nintendo Switch, PC, PlayStation 4, Sharp X68000","On-Rails, Real-Time, Scrolling, Shooter, Third-Person, Top-Down","Konami","Konami","1987-12-00","day","1987","12","0","5","0.64","1","1.35","2","7.53","8","1.94","5","0.64","","","",""
"24106","Märchen Maze","game","Arcade, Sharp X68000, TurboGrafx-16","Multidirectional, Platform, Real-Time, Shooter, Third-Person","Namco","SPS","1988-07-00","day","1988","7","0","4","2.12","","","","","4","2.12","4","2.12","","","",""
"24108","Ganryu","game","Arcade, Neo Geo","Hack And Slash","Visco","","1999-00-00","day","1999","0","0","6","0.99","","","","","6","0.99","6","0.99","","","",""
"24112","Gardenscapes","game","Mobile, Nintendo 3DS, Nintendo DS, PC","Simulation","Easy Interactive","Joindots","2012-06-22","day","2012","6","22","4","5.04","","","","","4","5.04","4","5.04","","","",""
"24115","Big Fish Legend","game","PC","Adventure","Igry.ru","Igry.ru","2015-07-20","day","2015","7","20","","","","","1","4.4","1","4.4","","","","","",""
"24116","DarkBase 01","game","PC","Action, Top-Down","Solar Storm Studio","","2015-01-19","day","2015","1","19","2","1.75","","","1","2.25","3","2.09","2","1.75","","","",""
"24119","The Adventures of Mr. Bobley","game","PC","Real-Time, Third-Person","Jan Zizka","Jan Zizka","0000-00-00","day","0","0","0","","","","","6","6.83","6","6.83","","","","","",""
"24120","Vortex Attack","game","PC","Real-Time, Shooter, Top-Down","KaleidoGames","KaleidoGames","2015-05-27","day","2015","5","27","","","1","10.28","","","1","10.28","","","","","",""
"24122","Star Trek: Away Team","game","PC","Real-Time, Tactical","Reflexive Entertainment","Activision","2001-03-20","day","2001","3","20","","","","","2","14.12","2","14.12","","","","","",""
"24124","Emergency 2012: The Quest for Peace","game","PC","Simulation","Quadriga Games","Deep Silver","2011-01-05","day","2011","1","5","1","19.43","","","","","1","19.43","1","19.43","","","",""
"24131","Grand Prix 2","game","PC","Driving, First-Person, Racing, Simulation, Sports, Third-Person","MicroProse","MicroProse","1996-08-00","day","1996","8","0","1","9.58","","","1","48.0","2","28.79","1","9.58","","","",""
