"id","name","type","release_date","release_precision","release_year","release_month","release_day","main_story_polled","main_story","main_plus_sides_polled","main_plus_sides","completionist_polled","completionist","all_styles_polled","all_styles","single_player_polled","single_player","co_op_polled","co_op","versus_polled","versus"
"146310","Sonder","multiplayer focused","2024-02-15","day","2024.0","2.0","15.0","5.0","0.67","3.0","0.65","2.0","1.08","10.0","0.73","5.0","0.67","","","",""
"147712","Marvel Rivals","multiplayer focused","2024-12-06","day","2024.0","12.0","6.0","","","","","","","","","","","","","","55.5"
"147904","Content Warning","multiplayer focused","2024-04-01","day","2024.0","4.0","1.0","","","","","","","","","","","","8.0","",""
"147953","Duckside","multiplayer focused","2024-09-25","day","2024.0","9.0","25.0","","","","","","","","","","","","","","12.0"
"148070","Oh Deer","multiplayer focused","2024-03-15","day","2024.0","3.0","15.0","1.0","1.0","2.0","14.9","","","3.0","10.27","1.0","1.0","1.0","23.5","2.0","7.0"
"148624","Warface: Clutch","multiplayer focused","2014-07-01","day","2014.0","7.0","1.0","","","","","","","","","","","","","","110.0"
"149681","Two Climbers","multiplayer focused","2024-01-19","day","2024.0","1.0","19.0","","","","","","","","","","","","3.0","",""
"152050","FragPunk","multiplayer focused","2025-03-06","day","2025.0","3.0","6.0","","","","","","","","","","","","","","32.0"
"152178","New World: Aeternum","multiplayer focused","2021-09-28","day","2021.0","9.0","28.0","3.0","29.33","2.0","106.5","","","5.0","60.2","3.0","29.33","","","",""
"152364","Murky Divers","multiplayer focused","2024-06-19","day","2024.0","6.0","19.0","","","","","","","","","","","","8.0","",""
"152640","Tarisland","multiplayer focused","2024-06-21","day","2024.0","6.0","21.0","1.0","13.07","1.0","91.28","","","2.0","52.17","1.0","13.07","","","",""
"152854","Supervive","multiplayer focused","2024-11-20","day","2024.0","11.0","20.0","","","","","","","","","","","","","","33.5"
"152954","Blood Strike","multiplayer focused","2024-10-18","day","2024.0","10.0","18.0","","","","","","","","","","","","","","32.5"
"153881","Splitgate 2","multiplayer focused","2025-05-22","day","2025.0","5.0","22.0","3.0","22.55","","","","","3.0","22.55","3.0","22.55","1.0","119.0","1.0","0.52"
"154638","Spectre Divide","multiplayer focused","2024-09-03","day","2024.0","9.0","3.0","","","","","","","","","","","","","","18.5"
"154975","BOKURA: Planet","multiplayer focused","2025-04-24","day","2025.0","4.0","24.0","","","","","","","","","","","","6.0","",""
"155349","Deadlock(2025)","multiplayer focused","2025","year","2025.0","","","","","","","","","","","","","","","","17.0"
"155443","LOCKDOWN Protocol","multiplayer focused","","","","","","","","","","","","","","","","","7.0","",""
"155701","Madden NFL 25(2024)","multiplayer focused","2024-08-15","day","2024.0","8.0","15.0","6.0","21.38","3.0","41.28","","","9.0","28.02","6.0","21.38","","","",""
"157448","Together in Between","multiplayer focused","2024-09-02","day","2024.0","9.0","2.0","","","","","","","","","","","","2.5","",""
"157692","Liar's Bar","multiplayer focused","2024-10-02","day","2024.0","10.0","2.0","","","","","","","","","","","","","","2.5"
"157925","Unplagued","multiplayer focused","2024-10-10","day","2024.0","10.0","10.0","1.0","1.0","","","","","1.0","1.0","1.0","1.0","","","",""
"157937","Sunderfolk","multiplayer focused","2025-04-23","day","2025.0","4.0","23.0","4.0","21.95","","","","","4.0","21.95","4.0","21.95","","","",""
"158252","FBC: Firebreak","multiplayer focused","2025-06-17","day","2025.0","6.0","17.0","12.0","3.15","8.0","10.67","3.0","20.53","23.0","8.03","12.0","3.15","","","",""
"158513","STRAFTAT","multiplayer focused","2024-10-24","day","2024.0","10.0","24.0","","","","","","","","","","","","","","2.0"
"158639","The Jackbox Survey Scramble","multiplayer focused","2024-10-23","day","2024.0","10.0","23.0","","","","","","","","","","","","","","4.5"
"158802","Death Note: Killer Within","multiplayer focused","2024-11-05","day","2024.0","11.0","5.0","","","","","","","","","","","","","","0.93"
"160589","Elden Ring: Nightreign","multiplayer focused","2025-05-30","day","2025.0","5.0","30.0","127.0","29.85","107.0","39.95","108.0","64.08","342.0","43.82","127.0","29.85","","","",""
"160592","Split Fiction","multiplayer focused","2025-03-06","day","2025.0","3.0","6.0","255.0","13.48","643.0","14.6","220.0","15.9","1.0","14.6","255.0","13.48","","","",""
"160620","REMATCH","multiplayer focused","2025-06-19","day","2025.0","6.0","19.0","2.0","7.5","","","4.0","42.5","6.0","30.83","2.0","7.5","","","",""
"160756","Granny: Escape Together","multiplayer focused","2024-12-06","day","2024.0","12.0","6.0","","","","","","","","","","","","4.0","",""
"161632","Carry The Glass","multiplayer focused","2024-10-23","day","2024.0","10.0","23.0","","","","","","","","","","","","3.0","",""
"162133","Split Brain","multiplayer focused","2024-12-05","day","2024.0","12.0","5.0","","","","","","","","","","","","4.0","",""
"162236","Royal Quest Online","multiplayer focused","2024-12-19","day","2024.0","12.0","19.0","1.0","25.0","1.0","50.0","1.0","75.0","3.0","50.0","1.0","25.0","","","",""
"168267","Cast & Spell","multiplayer focused","2025-04-18","day","2025.0","4.0","18.0","2.0","2.0","1.0","2.0","1.0","3.0","4.0","2.25","2.0","2.0","","","",""
"168721","Chained in the Backrooms","multiplayer focused","2025-02-13","day","2025.0","2.0","13.0","","","","","","","","","","","","1.0","",""
"169086","Parallel Experiment","multiplayer focused","2025-06-05","day","2025.0","6.0","5.0","","","","","","","","","","","","5.0","",""
"169515","WHAT THE PAK?!","multiplayer focused","2024-12-07","day","2024.0","12.0","7.0","","","","","","","","","","","","","","0.45"
